link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/675ab9948729cead59eba643/Appartements/Sfax/Sfax_Ville/Vente_S1_Lux_/,Vente S+1 Lux من باعث عقاري,210000,Appartements,À Louer,84,1,1,Sfax
https://www.tayara.tn/item/675ab9428729cead59eba5f7/Appartements/Sfax/Sfax/apparemment_vendre/,apparemment à vendre,N/A,Appartements,À Vendre,181,2,3,Sfax
https://www.tayara.tn/item/675ab752b5e4ab395e78c66f/Terrains%20et%20Fermes/Sfax/Skhira/Terrain_a_vendre/,Terrain a vendre,28000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675ab5848729cead59eba271/Appartements/Sfax/Route_Tunis/Location_S3_meubl_route_de_Tunis_km15/,"Location S+3 meublé route de Tunis km1,5",1800,Appartements,À Louer,175,2,3,Sfax
https://www.tayara.tn/item/675ab41db5e4ab395e78c3cb/Appartements/Sfax/Route_Tunis/_/,للبيع شقة بالحديقة,360000,Appartements,À Vendre,130,2,3,Sfax
https://www.tayara.tn/item/675ab260b5e4ab395e78c22a/Appartements/Sfax/Route_MANZEL_CHAKER/_/,إستيدو مأثث نظيف,900,Appartements,À Louer,50,1,1,Sfax
https://www.tayara.tn/item/675ab08d8729cead59eb9e3d/Maisons%20et%20Villas/Sfax/Route_El_Afrane/Maison_Louer_ou_vendre_/,Maison à Louer ou à vendre,N/A,Maisons et Villas,À Louer,400,1,1,Sfax
https://www.tayara.tn/item/675aa9fe8729cead59eb98c3/Appartements/Sfax/Sfax_Ville/Appartement_meubl_tout_prs_de_l_hpital_/,Appartement meublé tout près de l' hôpital,N/A,Appartements,À Louer,125,1,4,Sfax
https://www.tayara.tn/item/675a9586b5e4ab395e78ac23/Terrains%20et%20Fermes/Sfax/Sakiet_Ezzit/Terrain_vendre_/,Terrain à vendre,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675a1e7eb5e4ab395e789598/Maisons%20et%20Villas/Sfax/Mahrs/2_maisons_a_vendre/,2 maisons a vendre,360000,Maisons et Villas,À Vendre,303,2,5,Sfax
https://www.tayara.tn/item/675a0c77b5e4ab395e788d97/Appartements/Sfax/Sfax_Ville/_location_appartement_meubl_Luxe_s1s2_pour_nuites_/,⛔ location appartement meublé Luxe s+1/s+2 pour nuitées ⛔,N/A,Appartements,À Louer,140,2,2,Sfax
https://www.tayara.tn/item/675a0c5f8729cead59eb6aa9/Appartements/Sfax/Sfax/_location_appartement_meubl_Luxe_s1s2_pour_nuites_/,⛔ location appartement meublé Luxe s+1/s+2 pour nuitées ⛔,N/A,Appartements,À Louer,141,2,2,Sfax
https://www.tayara.tn/item/6759e8b68729cead59eb4cd7/Appartements/Sfax/Sakiet_Ezzit/Appartement_a_vendre/,Appartement a vendre,150,Appartements,À Vendre,100,1,3,Sfax
https://www.tayara.tn/item/6759e383b5e4ab395e786b06/Terrains%20et%20Fermes/Sfax/Route_TANIOUR/Terrain_vendre_/,Terrain à vendre,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/6759dd57b5e4ab395e7865cd/Appartements/Sfax/Route_MHARZA/Appartement_s_plus_2_a_louer/,Appartement s plus 2 a louer,400,Appartements,À Louer,80,1,2,Sfax
https://www.tayara.tn/item/6759dd53b5e4ab395e7865c9/Maisons%20et%20Villas/Sfax/Route_Mehdia/Location_dune_maison_S3_Sfax_/,Location d'une maison S+3 à Sfax .,600,Maisons et Villas,À Louer,120,01,04,Sfax
