gouvernement,category,num_bedrooms,num_bathrooms,surface_area,transaction_type,date,price
"Tunis, Carthage",Maisons et Villas,3,3,240,À Louer,31 janvier 2020,1200
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,100,,À Louer,31 janvier 2020,3600
"Tunis, La Marsa",Appartements,1,1,80,À Louer,31 janvier 2020,2500
"Tunis, La Marsa",Colocations,3,1,,À Louer,31 janvier 2020,270
"Tunis, La Marsa",Appartements,2,1,100,À Louer,31 janvier 2020,2500
"Tunis, La Marsa",Appartements,4,1,150,À Louer,31 janvier 2020,3500
"Tunis, Le Kram",Maisons et Villas,6,2,380,À Vendre,31 janvier 2020,1250000
"Tunis, El Ouardia",Maisons et Villas,5,3,695,À Vendre,31 janvier 2020,680000
"Tunis, La Marsa",Maisons et Villas,4,2,200,À Louer,31 janvier 2020,3300
"Tunis, Carthage",Maisons et Villas,4,2,280,À Vendre,31 janvier 2020,1200000
"Tunis, La Marsa",Appartements,2,2,191,À Vendre,31 janvier 2020,750000
"Tunis, La Marsa",Appartements,1,1,97,À Vendre,31 janvier 2020,300000
"Tunis, La Marsa",Appartements,2,1,144,À Vendre,31 janvier 2020,900000
"Tunis, La Goulette",Appartements,4,1,150,À Vendre,31 janvier 2020,850000
"Tunis, Le Kram","Magasins, Commerces et Locaux industriels",1,1,60,À Vendre,31 janvier 2020,45000
"Tunis, Sidi Bou Said",Maisons et Villas,8,3,1006,À Louer,31 janvier 2020,7500
"Tunis, Carthage",Appartements,2,1,70,À Louer,31 janvier 2020,600
"Tunis, Centre Ville - Lafayette",Appartements,3,1,85,À Vendre,31 janvier 2020,0
"Tunis, Carthage",Maisons et Villas,3,2,170,À Louer,31 janvier 2020,2800
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,1,28,À Vendre,31 janvier 2020,0
"Tunis, Autres villes",Appartements,4,1,90,À Louer,30 janvier 2020,700
"Tunis, Autres villes",Maisons et Villas,6,2,104,À Vendre,30 janvier 2020,0
"Tunis, L'aouina",Appartements,1,1,1,À Louer,30 janvier 2020,280
"Tunis, El Omrane supérieur",Maisons et Villas,11111,11111,200,À Vendre,30 janvier 2020,110
"Tunis, Cité El Khadra",Appartements,1,2,14,À Louer,30 janvier 2020,170
"Tunis, Menzah",Maisons et Villas,7,3,350,À Louer,30 janvier 2020,2400
"Tunis, Autres villes",Appartements,3,1,95,À Vendre,30 janvier 2020,12000000
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",,,,,30 janvier 2020,150000000
"Tunis, Autres villes",Appartements,3,1,95,À Louer,30 janvier 2020,500
"Tunis, Autres villes",Bureaux et Plateaux,5,2,350,À Vendre,30 janvier 2020,22092223
"Tunis, Autres villes",Locations de vacances,2,1,70,À Louer,30 janvier 2020,70
"Tunis, La Marsa",Appartements,2,1,,À Louer,30 janvier 2020,1800
"Tunis, Sidi Daoud",Appartements,2,124,,À Vendre,30 janvier 2020,320000
"Tunis, La Marsa",Appartements,1,100,,À Vendre,30 janvier 2020,550000
"Tunis, La Marsa",Appartements,4,1,1,À Louer,30 janvier 2020,3600
"Tunis, La Marsa",Maisons et Villas,5,480,,À Vendre,30 janvier 2020,1400000
"Tunis, La Marsa",Appartements,2,1,1,À Louer,30 janvier 2020,1500
"Tunis, Centre Ville - Lafayette","Magasins, Commerces et Locaux industriels",-1,1,180,À Vendre,30 janvier 2020,120000
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,42,À Vendre,30 janvier 2020,550000
"Tunis, La Marsa",Maisons et Villas,10,1,1,À Louer,30 janvier 2020,18000
"Tunis, Carthage",Appartements,3,103,,À Vendre,30 janvier 2020,275000
"Tunis, L'aouina",Appartements,3,1,,À Louer,30 janvier 2020,3500
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,80,,À Vendre,30 janvier 2020,130000
"Tunis, La Marsa",Appartements,4,1,1,À Louer,30 janvier 2020,2000
"Tunis, Carthage",Maisons et Villas,6,400,,À Vendre,30 janvier 2020,2300000
"Tunis, La Goulette","Magasins, Commerces et Locaux industriels",1,1,100,À Vendre,30 janvier 2020,80000
"Tunis, La Marsa",Appartements,1,80,,À Vendre,30 janvier 2020,178000
"Tunis, La Marsa",Appartements,1,1,1,À Louer,30 janvier 2020,2000
"Tunis, L'aouina",Appartements,4,150,,À Vendre,30 janvier 2020,450000
"Tunis, La Marsa",Appartements,4,2,229,À Vendre,30 janvier 2020,800000
"Tunis, Carthage",Maisons et Villas,2,1,,À Louer,30 janvier 2020,1500
"Tunis, La Marsa",Appartements,4,1,1,À Louer,30 janvier 2020,2500
"Tunis, Autres villes",Appartements,2,1,70,À Louer,30 janvier 2020,1250
"Tunis, Tunis",Terrains et Fermes,,,,,30 janvier 2020,0
"Tunis, Autres villes",Appartements,3,12,5,À Vendre,30 janvier 2020,0
"Tunis, Autres villes",Appartements,3,1,80,À Louer,30 janvier 2020,650
"Tunis, Tunis","Magasins, Commerces et Locaux industriels",,,,,30 janvier 2020,20
"Tunis, Tunis",Bureaux et Plateaux,4,1,79,À Louer,30 janvier 2020,1300
"Tunis, Tunis",Bureaux et Plateaux,5,1,113,À Louer,30 janvier 2020,1790
"Tunis, Autres villes",Appartements,3,3,170,À Louer,30 janvier 2020,4000
"Tunis, Autres villes",Appartements,3,1,95,À Louer,30 janvier 2020,0
"Tunis, Le Bardo",Appartements,4,1,140,À Louer,30 janvier 2020,700
"Tunis, La Marsa",Maisons et Villas,3,2,320,À Louer,30 janvier 2020,2800
"Tunis, Menzah",Appartements,1,1,67,À Vendre,30 janvier 2020,155000
"Tunis, L'aouina",Appartements,4,1,110,À Vendre,30 janvier 2020,250000
"Tunis, L'aouina",Appartements,3,2,130,À Louer,30 janvier 2020,0
"Tunis, Mutuelleville",Maisons et Villas,6,3,643,À Vendre,30 janvier 2020,1800000
"Tunis, Mutuelleville",Maisons et Villas,4,3,420,À Vendre,30 janvier 2020,1550000
"Tunis, Séjoumi",Terrains et Fermes,,,,,30 janvier 2020,1
"Tunis, Menzah",Locations de vacances,1,1,70,À Louer,30 janvier 2020,80
"Tunis, Autres villes",Appartements,1,1,50,À Louer,30 janvier 2020,0
"Tunis, Le Kram",Appartements,1,1,73,À Vendre,30 janvier 2020,260000
"Tunis, Le Kram",Appartements,1,1,70,À Louer,30 janvier 2020,1500
"Tunis, Tunis",Maisons et Villas,1,32,,À Louer,30 janvier 2020,450
"Tunis, La Marsa",Bureaux et Plateaux,6,2,180,À Louer,30 janvier 2020,2500
"Tunis, Le Kram",Appartements,1,1,85,À Louer,30 janvier 2020,1150
"Tunis, Tunis","Magasins, Commerces et Locaux industriels",,,,,30 janvier 2020,0
"Tunis, La Marsa",Appartements,1,70,,À Louer,30 janvier 2020,600
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,100
"Tunis, Menzah",Bureaux et Plateaux,8,3,400,À Louer,30 janvier 2020,2900
"Tunis, Le Kram",Maisons et Villas,2,1,110,À Louer,30 janvier 2020,1500
"Tunis, Tunis",Appartements,3,2,260,À Vendre,30 janvier 2020,600000
"Tunis, Tunis",Maisons et Villas,2,1,120,À Louer,30 janvier 2020,0
"Tunis, Autres villes",Appartements,3,1,100,À Vendre,30 janvier 2020,175000
"Tunis, Centre Ville - Lafayette",Appartements,3,1,75,À Louer,30 janvier 2020,600
"Tunis, L'aouina","Magasins, Commerces et Locaux industriels",1,1,18,À Vendre,30 janvier 2020,100000
"Tunis, Carthage",Maisons et Villas,7,2,500,À Louer,30 janvier 2020,3200
"Tunis, L'aouina","Magasins, Commerces et Locaux industriels",1,1,300,À Louer,30 janvier 2020,12000
"Tunis, La Marsa",Appartements,2,1,100,À Louer,30 janvier 2020,3500
"Tunis, Centre Ville - Lafayette",Appartements,3,1,80,À Louer,30 janvier 2020,600
"Tunis, Autres villes",Maisons et Villas,3,140,1,À Vendre,30 janvier 2020,0
"Tunis, La Marsa",Maisons et Villas,5,3,220,À Vendre,30 janvier 2020,220000
"Tunis, Autres villes",Appartements,3,1,100,À Louer,30 janvier 2020,0
"Tunis, Cité El Khadra","Magasins, Commerces et Locaux industriels",1,1,50,À Louer,30 janvier 2020,550
"Tunis, Médina","Magasins, Commerces et Locaux industriels",4,1,80,À Vendre,30 janvier 2020,120000
"Tunis, Menzah",Appartements,1,1,48,À Louer,30 janvier 2020,950
"Tunis, Agba",Terrains et Fermes,,,,,30 janvier 2020,100500000
"Tunis, Autres villes",Colocations,,,,,30 janvier 2020,400
"Tunis, La Marsa",Terrains et Fermes,,,,,30 janvier 2020,259500
"Tunis, Menzah",Maisons et Villas,3,1,170,À Louer,30 janvier 2020,1300
"Tunis, Centre Urbain Nord",Appartements,3,2,120,À Louer,30 janvier 2020,1600
"Tunis, L'aouina",Appartements,2,2,113,À Vendre,30 janvier 2020,215000
"Tunis, Autres villes",Appartements,12,86,1286,À Vendre,30 janvier 2020,0
"Tunis, La Marsa",Appartements,1,1,74,À Louer,30 janvier 2020,235000
"Tunis, Tunis",Maisons et Villas,5,1,380,À Vendre,30 janvier 2020,350
"Tunis, Tunis",Appartements,3,2,115,À Louer,30 janvier 2020,3000
"Tunis, Autres villes",Colocations,11111,1111,11111,À Louer,30 janvier 2020,0
"Tunis, La Goulette",Appartements,2,2,130,À Louer,30 janvier 2020,3200
"Tunis, Centre Ville - Lafayette",Bureaux et Plateaux,2,1,65,À Louer,30 janvier 2020,750
"Tunis, El Kabaria",Maisons et Villas,3,3,115,À Vendre,30 janvier 2020,250
"Tunis, L'aouina","Magasins, Commerces et Locaux industriels",3,1,110,À Louer,30 janvier 2020,0
"Tunis, Mutuelleville","Magasins, Commerces et Locaux industriels",1,1,50,À Louer,30 janvier 2020,1350
"Tunis, Autres villes",Appartements,2,1,80,À Louer,30 janvier 2020,420
"Tunis, Menzah",Appartements,4,2,160,À Louer,30 janvier 2020,1600
"Tunis, Centre Ville - Lafayette",Appartements,2,1,1,À Louer,30 janvier 2020,500
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,1
"Tunis, La Marsa",Maisons et Villas,4,3,780,À Louer,30 janvier 2020,0
"Tunis, Sidi Daoud",Appartements,2,1,120,À Louer,30 janvier 2020,2300
"Tunis, La Marsa",Appartements,2,1,120,À Louer,30 janvier 2020,2000
"Tunis, La Marsa",Maisons et Villas,3,1,150,À Louer,30 janvier 2020,3000
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,0
"Tunis, Le Bardo",Maisons et Villas,3,1,1,À Louer,30 janvier 2020,700
"Tunis, Le Bardo",Maisons et Villas,1,1,1,À Vendre,30 janvier 2020,800000
"Tunis, Autres villes",Maisons et Villas,3,1,80,À Louer,30 janvier 2020,0
"Tunis, Tunis",Maisons et Villas,4,2,200,À Vendre,30 janvier 2020,0
"Tunis, Centre Ville - Lafayette",Appartements,3,2,107,À Louer,30 janvier 2020,1200
"Tunis, Tunis",Appartements,1,1,1,À Vendre,30 janvier 2020,60
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,1,À Vendre,30 janvier 2020,0
"Tunis, Hraïria",Terrains et Fermes,,,,,30 janvier 2020,0
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,400,À Louer,30 janvier 2020,2
"Tunis, La Marsa",Appartements,1,1,80,À Louer,30 janvier 2020,950
"Tunis, Centre Ville - Lafayette",Appartements,3,1,80,À Louer,30 janvier 2020,180
"Tunis, El Ouardia",Appartements,2,1,80,À Louer,30 janvier 2020,300
"Tunis, Tunis",Colocations,2,1,2,À Vendre,30 janvier 2020,350
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,1,45,À Vendre,30 janvier 2020,125000
"Tunis, Menzah",Appartements,3,1,100,À Vendre,30 janvier 2020,225000
"Tunis, Autres villes",Maisons et Villas,2,1,110,À Louer,30 janvier 2020,720
"Tunis, Centre Ville - Lafayette",Appartements,3,1,70,À Louer,30 janvier 2020,600
"Tunis, Autres villes",Maisons et Villas,5,3,130,À Vendre,30 janvier 2020,280
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,200000000
"Tunis, La Marsa",Appartements,2,2,119,À Vendre,30 janvier 2020,380000
"Tunis, Tunis",Appartements,4,1,100,À Louer,30 janvier 2020,0
"Tunis, Menzah",Maisons et Villas,8,4,400,À Vendre,30 janvier 2020,820000
"Tunis, Menzah",Appartements,4,2,120,À Vendre,30 janvier 2020,220000
"Tunis, Sidi Hassine",Terrains et Fermes,,,,,30 janvier 2020,1700000
"Tunis, Manar",Bureaux et Plateaux,5,1,120,À Louer,30 janvier 2020,1000
"Tunis, Mutuelleville",Maisons et Villas,4,2,400,À Louer,30 janvier 2020,4000
"Tunis, Menzah",Appartements,3,1,150,À Louer,30 janvier 2020,950
"Tunis, Centre Ville - Lafayette",Bureaux et Plateaux,1,1,26,À Louer,30 janvier 2020,400
"Tunis, Menzah",Maisons et Villas,2,1,180,À Louer,30 janvier 2020,1000
"Tunis, L'aouina",Appartements,1,1,67,À Louer,30 janvier 2020,750
"Tunis, El Kabaria",Appartements,3,1,78,À Vendre,30 janvier 2020,95
"Tunis, Carthage",Appartements,2,2,100,À Louer,30 janvier 2020,250
"Tunis, La Marsa",Terrains et Fermes,,,,,30 janvier 2020,650
"Tunis, L'aouina",Appartements,2,1,90,À Louer,30 janvier 2020,90
"Tunis, Centre Urbain Nord",Bureaux et Plateaux,4,2,180,À Louer,30 janvier 2020,3500
"Tunis, Autres villes",Appartements,22,22,22,À Vendre,30 janvier 2020,0
"Tunis, El Ouardia",Maisons et Villas,3,2,100,À Vendre,30 janvier 2020,90
"Tunis, La Marsa",Appartements,4,1,101,À Vendre,30 janvier 2020,245000
"Tunis, La Marsa",Appartements,2,1,100,À Louer,30 janvier 2020,600
"Tunis, Le Kram",Bureaux et Plateaux,1,4,1500,À Louer,30 janvier 2020,22500
"Tunis, L'aouina",Appartements,2,1,90,À Louer,30 janvier 2020,1800
"Tunis, La Marsa",Maisons et Villas,3,2,200,À Louer,30 janvier 2020,780
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,0
"Tunis, Tunis",Appartements,3,0,100,À Louer,30 janvier 2020,800
"Tunis, Carthage",Appartements,3,1,190,À Louer,30 janvier 2020,3500
"Tunis, La Marsa",Appartements,2,2,100,À Louer,30 janvier 2020,220
"Tunis, Le Bardo",Maisons et Villas,1,1,50,À Louer,30 janvier 2020,500
"Tunis, Centre Ville - Lafayette",Appartements,5,2,150,À Vendre,30 janvier 2020,280000
"Tunis, Centre Ville - Lafayette","Magasins, Commerces et Locaux industriels",1,2370,,À Vendre,30 janvier 2020,0
"Tunis, Centre Ville - Lafayette",Maisons et Villas,2,1,50,À Louer,30 janvier 2020,1000
"Tunis, Tunis",Appartements,1,1,1,À Louer,30 janvier 2020,350
"Tunis, Centre Ville - Lafayette",Appartements,2,1,70,À Louer,30 janvier 2020,900
"Tunis, Centre Urbain Nord",Bureaux et Plateaux,6,3,450,À Louer,30 janvier 2020,3500
"Tunis, La Marsa",Maisons et Villas,4,3,286,À Louer,30 janvier 2020,4500
"Tunis, La Marsa",Appartements,1,1,140,À Louer,30 janvier 2020,1500
"Tunis, L'aouina",Appartements,1,1,80,À Louer,30 janvier 2020,5000
"Tunis, Centre Ville - Lafayette",Maisons et Villas,1,800,,À Louer,30 janvier 2020,800
"Tunis, L'aouina",Appartements,3,1,100,À Louer,30 janvier 2020,1000
"Tunis, Centre Ville - Lafayette","Magasins, Commerces et Locaux industriels",1,1,55,À Louer,30 janvier 2020,850
"Tunis, Mutuelleville",Appartements,3,1,140,À Louer,30 janvier 2020,1100
"Tunis, Manar",Appartements,3,2,220,À Louer,30 janvier 2020,1600
"Tunis, Menzah",Locations de vacances,1,1,75,À Louer,30 janvier 2020,90
"Tunis, La Marsa",Appartements,2,2,140,À Louer,30 janvier 2020,1800
"Tunis, Menzah","Magasins, Commerces et Locaux industriels",1,2,130,À Louer,30 janvier 2020,0
"Tunis, La Marsa",Bureaux et Plateaux,2,1,90,À Louer,30 janvier 2020,2200
"Tunis, La Marsa",Maisons et Villas,5,2,1800,À Louer,30 janvier 2020,7000
"Tunis, Sidi Daoud",Appartements,3,2,178,À Vendre,30 janvier 2020,540000
"Tunis, La Marsa",Appartements,3,1,160,À Louer,30 janvier 2020,1800
"Tunis, Centre Ville - Lafayette",Maisons et Villas,2,1,65,À Louer,30 janvier 2020,650
"Tunis, Cité El Khadra",Appartements,2,1,100,À Louer,30 janvier 2020,750
"Tunis, El Omrane",Maisons et Villas,2,1,436,À Vendre,30 janvier 2020,1000000
"Tunis, Centre Ville - Lafayette",Appartements,-1,1,1,À Louer,30 janvier 2020,200
"Tunis, La Marsa",Appartements,3,3,250,À Louer,30 janvier 2020,5000
"Tunis, Centre Ville - Lafayette",Appartements,1,1,15,À Louer,30 janvier 2020,250
"Tunis, Ezzouhour",Appartements,2,1,65,À Louer,30 janvier 2020,300
"Tunis, Centre Ville - Lafayette",Maisons et Villas,3,1,85,À Louer,30 janvier 2020,700
"Tunis, Centre Ville - Lafayette",Appartements,2,2,70,À Louer,30 janvier 2020,500
"Tunis, Autres villes",Appartements,2,1,80,À Louer,30 janvier 2020,400
"Tunis, L'aouina",Appartements,2,1,100,À Louer,30 janvier 2020,750
"Tunis, Ettahrir",Appartements,2,1,80,À Louer,30 janvier 2020,350
"Tunis, Tunis",Appartements,2,1,1,À Louer,30 janvier 2020,500
"Tunis, Tunis",Appartements,2,1,1,À Louer,30 janvier 2020,450
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,200,À Louer,30 janvier 2020,7800
"Tunis, Mutuelleville",Appartements,2,1,40,À Louer,30 janvier 2020,600
"Tunis, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,650
"Tunis, Sidi Daoud",Maisons et Villas,2,1,130,À Louer,30 janvier 2020,470
"Tunis, Autres villes",Appartements,2,1,95,À Louer,30 janvier 2020,900
"Tunis, Tunis",Bureaux et Plateaux,2,1,110,À Louer,30 janvier 2020,750
"Tunis, Le Bardo",Maisons et Villas,3,1,180,À Louer,30 janvier 2020,1000
"Tunis, Le Bardo",Maisons et Villas,4,1,515,À Vendre,30 janvier 2020,690000
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,80,À Louer,30 janvier 2020,850
"Tunis, Le Bardo",Maisons et Villas,3,1,100,À Louer,30 janvier 2020,0
"Tunis, Centre Ville - Lafayette",Appartements,2,1,40,À Louer,30 janvier 2020,520
"Tunis, Manar",Appartements,3,1,174,À Vendre,30 janvier 2020,350000
"Tunis, Autres villes",Locations de vacances,2,1,150,À Louer,30 janvier 2020,120
"Tunis, Tunis",Maisons et Villas,2,1,80,À Louer,30 janvier 2020,75
"Tunis, Le Bardo",Appartements,3,1,80,À Vendre,30 janvier 2020,95000
"Tunis, Menzah",Appartements,4,1,110,À Vendre,29 janvier 2020,242000
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",2,1,80,À Louer,29 janvier 2020,1500
"Tunis, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,400000
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",2,1,80,À Vendre,29 janvier 2020,180
"Tunis, Autres villes",Appartements,3,3,247,À Vendre,29 janvier 2020,850000
"Tunis, Le Kram",Appartements,4,4,197,À Louer,29 janvier 2020,4000
"Tunis, Carthage",Appartements,4,4,300,À Louer,29 janvier 2020,4000
"Tunis, Cité El Khadra",Colocations,2,1,100,À Louer,29 janvier 2020,750
"Tunis, L'aouina",Appartements,2,1,92,À Vendre,29 janvier 2020,198000
"Tunis, Tunis",Terrains et Fermes,,,,,29 janvier 2020,1069
"Tunis, Autres villes",Maisons et Villas,2,1,200,À Vendre,29 janvier 2020,650
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",0,0,0,À Vendre,29 janvier 2020,590
"Tunis, Autres villes",Maisons et Villas,4,2,110,À Louer,29 janvier 2020,170000
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,1,50,À Louer,29 janvier 2020,500
"Tunis, Sidi Hassine",Maisons et Villas,4,1,400,À Vendre,29 janvier 2020,0
"Tunis, Tunis","Magasins, Commerces et Locaux industriels",2,1,70,À Louer,29 janvier 2020,2200
"Tunis, L'aouina",Appartements,1,1,85,À Vendre,29 janvier 2020,175000
"Tunis, L'aouina",Appartements,2,1,108,À Vendre,29 janvier 2020,200000
"Tunis, L'aouina",Appartements,3,2,125,À Vendre,29 janvier 2020,250000
"Tunis, L'aouina",Appartements,3,2,134,À Vendre,29 janvier 2020,250000
"Tunis, L'aouina",Appartements,2,1,106,À Vendre,29 janvier 2020,220000
"Tunis, Le Bardo",Maisons et Villas,8,2,360,À Vendre,29 janvier 2020,570000
"Tunis, La Marsa",Maisons et Villas,6,600,,À Vendre,29 janvier 2020,2000000
"Tunis, Autres villes",Appartements,2,1,65,À Vendre,29 janvier 2020,175000
"Tunis, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,190
"Tunis, Autres villes",Maisons et Villas,2,1,45,À Vendre,29 janvier 2020,20000000
"Tunis, Autres villes",Appartements,3,1,70,À Vendre,29 janvier 2020,70000
"Tunis, La Marsa",Maisons et Villas,4,3,400,À Louer,29 janvier 2020,3500
"Tunis, La Marsa",Appartements,2,1,120,À Louer,29 janvier 2020,1500
"Tunis, Sidi Daoud",Appartements,3,2,350,À Louer,29 janvier 2020,2800
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,25,,À Louer,29 janvier 2020,3000
"Tunis, El Kabaria",Appartements,3,1,75,À Vendre,29 janvier 2020,80000000
"Tunis, Le Bardo",Appartements,2,1,1,À Louer,29 janvier 2020,450
"Tunis, Mutuelleville",Maisons et Villas,5,3,686,À Vendre,29 janvier 2020,1580000
"Tunis, La Marsa",Maisons et Villas,5,4,250,À Vendre,29 janvier 2020,0
"Tunis, Autres villes",Maisons et Villas,3,1,200,À Vendre,29 janvier 2020,0
"Tunis, La Marsa",Appartements,1,1,104,À Vendre,29 janvier 2020,264000
"Tunis, Autres villes","Magasins, Commerces et Locaux industriels",1,1,200,À Vendre,29 janvier 2020,170
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,20,À Vendre,29 janvier 2020,150000
"Tunis, Autres villes",Maisons et Villas,3,1,80,À Louer,29 janvier 2020,350
"Tunis, L'aouina",Appartements,350,1,80,À Louer,29 janvier 2020,350
"Tunis, La Marsa",Appartements,3,1,134,À Vendre,29 janvier 2020,280000
"Tunis, L'aouina",Appartements,4,1,85,À Vendre,29 janvier 2020,147
"Tunis, Sidi Daoud",Appartements,3,3,197,À Vendre,29 janvier 2020,545000
"Tunis, Autres villes",Appartements,2,1,140,À Louer,29 janvier 2020,1070
"Tunis, Carthage",Appartements,1,1,78,À Vendre,29 janvier 2020,235000
"Tunis, Autres villes",Appartements,2,1,60,À Louer,29 janvier 2020,0
"Tunis, Tunis",Terrains et Fermes,,,,,29 janvier 2020,0
"Tunis, Agba",Appartements,3,1,95,À Louer,29 janvier 2020,420
"Tunis, Centre Ville - Lafayette",Appartements,3,1,109,À Louer,29 janvier 2020,1100
"Tunis, Centre Ville - Lafayette",Appartements,2,1,74,À Louer,29 janvier 2020,900
"Tunis, Tunis",Bureaux et Plateaux,3,2,116,À Vendre,29 janvier 2020,302000
"Tunis, Carthage",Maisons et Villas,5,2,250,À Vendre,29 janvier 2020,450000
"Tunis, L'aouina",Maisons et Villas,4,2,1000,À Vendre,29 janvier 2020,900000
"Tunis, Carthage",Appartements,4,2,147,À Vendre,29 janvier 2020,450000
"Tunis, La Marsa",Maisons et Villas,4,2,240,À Vendre,29 janvier 2020,0
"Tunis, Manar",Appartements,4,1,120,À Louer,29 janvier 2020,1000
"Tunis, La Marsa",Appartements,10,4,204,À Vendre,29 janvier 2020,1150000
"Tunis, L'aouina",Appartements,2,2,100,À Louer,29 janvier 2020,1600
"Tunis, La Marsa",Appartements,4,3,170,À Louer,29 janvier 2020,2200
"Tunis, El Omrane supérieur",Locations de vacances,2,1,100,À Louer,29 janvier 2020,60
"Tunis, Autres villes",Appartements,2,1,135,À Louer,29 janvier 2020,3000
"Tunis, Tunis",Colocations,26167315,26167315,26167315,À Louer,29 janvier 2020,26167315
"Tunis, Autres villes",Appartements,4,1,142,À Vendre,29 janvier 2020,400000
"Tunis, Le Bardo",Maisons et Villas,2,1,60,À Louer,29 janvier 2020,0
"Tunis, Le Kram",Appartements,4,3,240,À Vendre,29 janvier 2020,370000
"Tunis, Autres villes",Bureaux et Plateaux,1,1,1,À Vendre,29 janvier 2020,1
"Tunis, Centre Ville - Lafayette","Magasins, Commerces et Locaux industriels",1,1,40,À Louer,29 janvier 2020,850
"Tunis, Agba",Maisons et Villas,4,1,108,À Vendre,29 janvier 2020,0
"Tunis, Le Kram",Maisons et Villas,2,1,1,À Louer,29 janvier 2020,750
"Tunis, Carthage",Maisons et Villas,7,5,600,À Vendre,29 janvier 2020,2500000
"Tunis, Tunis",Terrains et Fermes,,,,,29 janvier 2020,85000
"Tunis, Sidi El Béchir",Maisons et Villas,4,4,350,À Vendre,29 janvier 2020,520000
"Tunis, Menzah",Appartements,4,1,80,À Louer,29 janvier 2020,600
"Tunis, L'aouina","Magasins, Commerces et Locaux industriels",1,1,140,À Vendre,29 janvier 2020,196
"Tunis, L'aouina",Appartements,4,2,200,À Vendre,29 janvier 2020,380000
"Tunis, La Marsa",Maisons et Villas,3,2,250,À Vendre,29 janvier 2020,1500000
"Tunis, Autres villes",Appartements,2,1,100,À Louer,29 janvier 2020,450
"Tunis, La Marsa",Appartements,3,2,120,À Louer,29 janvier 2020,1800
"Tunis, Menzah",Maisons et Villas,4,2,500,À Vendre,29 janvier 2020,1350000
"Tunis, La Marsa",Appartements,3,160,,À Louer,29 janvier 2020,6000
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,1,120,À Louer,29 janvier 2020,1500
"Tunis, Autres villes",Maisons et Villas,5,3,1250,À Louer,29 janvier 2020,17000
"Tunis, La Marsa",Maisons et Villas,4,2,650,À Louer,29 janvier 2020,6000
"Tunis, Autres villes",Maisons et Villas,4,4,517,À Louer,29 janvier 2020,8500
"Tunis, Manar",Appartements,3,1,100,À Vendre,29 janvier 2020,1000
"Tunis, Autres villes",Maisons et Villas,7,6,1400,À Louer,29 janvier 2020,14000
"Tunis, L'aouina","Magasins, Commerces et Locaux industriels",1,1,17,À Louer,29 janvier 2020,450
"Tunis, Tunis",Appartements,3,1,1,À Louer,29 janvier 2020,650
"Tunis, Autres villes",Maisons et Villas,3,3,440,À Louer,29 janvier 2020,7000
"Tunis, Autres villes",Maisons et Villas,4,2,250,À Louer,29 janvier 2020,4000
"Tunis, Menzah",Maisons et Villas,8,2,425,À Vendre,29 janvier 2020,2000000
"Tunis, Autres villes",Maisons et Villas,3,3,550,À Louer,29 janvier 2020,6000
"Tunis, La Marsa","Magasins, Commerces et Locaux industriels",1,170,,À Vendre,29 janvier 2020,90000
"Tunis, Tunis",Bureaux et Plateaux,3,2,190,À Vendre,29 janvier 2020,540000
"Tunis, L'aouina",Appartements,3,139,,À Vendre,29 janvier 2020,265000
"Tunis, L'aouina",Appartements,2,229,,À Vendre,29 janvier 2020,0
"Tunis, La Marsa",Appartements,4,200,,À Vendre,29 janvier 2020,600000
"Tunis, Mutuelleville",Maisons et Villas,4,3,200,À Louer,29 janvier 2020,1000
"Tunis, La Marsa",Appartements,5,3,230,À Louer,29 janvier 2020,5000
"Tunis, Hraïria",Terrains et Fermes,,,,,29 janvier 2020,107000
"Tunis, L'aouina",Appartements,2,124,,À Vendre,29 janvier 2020,225000
"Tunis, Le Bardo",Appartements,2,1,55,À Louer,29 janvier 2020,350
"Tunis, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,88000
